Comunidades y Ciudades Autónomas,Periodo,Total
01 Andalucía,2020,"35,1"
01 Andalucía,2019,"37,7"
01 Andalucía,2018,"38,2"
01 Andalucía,2017,"37,3"
01 Andalucía,2016,"41,7"
01 Andalucía,2015,"43,2"
01 Andalucía,2014,"42,3"
01 Andalucía,2013,"38,3"
01 Andalucía,2012,"36,9"
01 Andalucía,2011,"38,4"
01 Andalucía,2010,35
01 Andalucía,2009,"33,3"
01 Andalucía,2008,"31,6"
01 Andalucía,2020,"28,5"
01 Andalucía,2019,"31,3"
01 Andalucía,2018,32
01 Andalucía,2017,31
01 Andalucía,2016,"35,4"
01 Andalucía,2015,"35,7"
01 Andalucía,2014,"33,3"
01 Andalucía,2013,"29,1"
01 Andalucía,2012,"28,3"
01 Andalucía,2011,"30,7"
01 Andalucía,2010,"28,3"
01 Andalucía,2009,"28,8"
01 Andalucía,2008,"27,3"
01 Andalucía,2020,8
01 Andalucía,2019,"5,9"
01 Andalucía,2018,8
01 Andalucía,2017,"5,2"
01 Andalucía,2016,"7,1"
01 Andalucía,2015,8
01 Andalucía,2014,"9,5"
01 Andalucía,2013,7
01 Andalucía,2012,"7,5"
01 Andalucía,2011,"6,3"
01 Andalucía,2010,"5,6"
01 Andalucía,2009,"5,7"
01 Andalucía,2008,"5,4"
01 Andalucía,2020,"13,5"
01 Andalucía,2019,18
01 Andalucía,2018,"18,1"
01 Andalucía,2017,"21,9"
01 Andalucía,2016,"23,5"
01 Andalucía,2015,"24,9"
01 Andalucía,2014,"27,4"
01 Andalucía,2013,"25,3"
01 Andalucía,2012,"20,6"
01 Andalucía,2011,"20,1"
01 Andalucía,2010,"14,7"
01 Andalucía,2009,"11,4"
01 Andalucía,2008,"10,1"
