Dias,Column 3,Column 1,Column 2
2020-06-09,10116,2020-06-09T11:00:05,Junio
2020-06-09,12420,2020-06-09T12:00:06,Junio
2020-06-09,15635,2020-06-09T13:05:09,Junio
2020-06-09,35032,2020-06-09T19:08:33,Junio
2020-06-09,37104,2020-06-09T20:08:34,Junio
2020-06-09,10116,2020-06-09T11:00:05,Junio
2020-06-09,12420,2020-06-09T12:00:06,Junio
2020-06-09,15635,2020-06-09T13:05:09,Junio
2020-06-09,35032,2020-06-09T19:08:33,Junio
2020-06-09,37104,2020-06-09T20:08:34,Junio
2020-06-10,42454,2020-06-10T00:13:11,Junio
2020-06-10,45775,2020-06-10T05:17:46,Junio
2020-06-10,44703,2020-06-10T06:17:49,Junio
2020-06-10,40796,2020-06-10T09:22:53,Junio
2020-06-10,42454,2020-06-10T00:13:11,Junio
2020-06-10,45775,2020-06-10T05:17:46,Junio
2020-06-10,44703,2020-06-10T06:17:49,Junio
2020-06-10,40796,2020-06-10T09:22:53,Junio
2020-06-16,10852,2020-06-16T10:50:25,Junio
2020-06-16,13911,2020-06-16T11:55:30,Junio
2020-06-16,17370,2020-06-16T12:50:35,Junio
2020-06-16,10852,2020-06-16T10:50:25,Junio
2020-06-16,13911,2020-06-16T11:55:30,Junio
2020-06-16,17370,2020-06-16T12:50:35,Junio
2020-06-17,49161,2020-06-17T01:05:34,Junio
2020-06-17,50131,2020-06-17T02:05:28,Junio
2020-06-17,50807,2020-06-17T03:05:25,Junio
2020-06-17,48164,2020-06-17T07:10:29,Junio
2020-06-17,46790,2020-06-17T08:15:27,Junio
2020-06-17,49161,2020-06-17T01:05:34,Junio
2020-06-17,50131,2020-06-17T02:05:28,Junio
2020-06-17,50807,2020-06-17T03:05:25,Junio
2020-06-17,48164,2020-06-17T07:10:29,Junio
2020-06-17,46790,2020-06-17T08:15:27,Junio
2020-06-23,10760,2020-06-23T11:42:32,Junio
2020-06-23,13706,2020-06-23T12:47:31,Junio
2020-06-23,17851,2020-06-23T13:47:30,Junio
2020-06-23,10760,2020-06-23T11:42:32,Junio
2020-06-23,13706,2020-06-23T12:47:31,Junio
2020-06-23,17851,2020-06-23T13:47:30,Junio
2020-06-24,47929,2020-06-24T02:59:07,Junio
2020-06-24,48531,2020-06-24T03:59:13,Junio
2020-06-24,47929,2020-06-24T02:59:07,Junio
2020-06-24,48531,2020-06-24T03:59:13,Junio
2020-06-30,16535,2020-06-30T13:37:05,Junio
2020-06-30,21088,2020-06-30T14:42:31,Junio
2020-06-30,24592,2020-06-30T15:39:35,Junio
2020-06-30,16535,2020-06-30T13:37:05,Junio
2020-06-30,21088,2020-06-30T14:42:31,Junio
2020-06-30,24592,2020-06-30T15:39:35,Junio
