Comunidades y Ciudades Autónomas,Media,Numero,Tasa de riesgo de pobreza o exclusión social (y sus componentes)
01 Andalucía,30.74,28.5,En riesgo de pobreza (renta año anterior a la entrevista)
Aragón,14.99,16,En riesgo de pobreza (renta año anterior a la entrevista)
"Asturias, Principado de",15.01,22.2,En riesgo de pobreza (renta año anterior a la entrevista)
"Balears, Illes",18.26,14.1,En riesgo de pobreza (renta año anterior a la entrevista)
05 Canarias,30.38,29.9,En riesgo de pobreza (renta año anterior a la entrevista)
Cantabria,17.24,18,En riesgo de pobreza (renta año anterior a la entrevista)
Castilla y León,17.13,15.1,En riesgo de pobreza (renta año anterior a la entrevista)
08 Castilla - La Mancha,28.31,25.1,En riesgo de pobreza (renta año anterior a la entrevista)
Cataluña,14.48,16.7,En riesgo de pobreza (renta año anterior a la entrevista)
10 Comunitat Valenciana,24.12,24.6,En riesgo de pobreza (renta año anterior a la entrevista)
11 Extremadura,32.75,31.4,En riesgo de pobreza (renta año anterior a la entrevista)
12 Galicia,18.81,22.1,En riesgo de pobreza (renta año anterior a la entrevista)
"Madrid, Comunidad de",15.25,15.4,En riesgo de pobreza (renta año anterior a la entrevista)
"14 Murcia, Región de",28.5,25,En riesgo de pobreza (renta año anterior a la entrevista)
"Navarra, Comunidad Foral de",8.82,9.9,En riesgo de pobreza (renta año anterior a la entrevista)
País Vasco,10.52,10,En riesgo de pobreza (renta año anterior a la entrevista)
"Rioja, La",16.15,15,En riesgo de pobreza (renta año anterior a la entrevista)
18 Ceuta,35.77,35.3,En riesgo de pobreza (renta año anterior a la entrevista)
19 Melilla,24.36,36.3,En riesgo de pobreza (renta año anterior a la entrevista)
